태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
양당리마을 태양광발전소,충청북도 단양군 단성면 양당길 23-1,,36.9041048062463,128.247899463356,,정상가동,19.5,220.0,60,2023,,,,,2025-12-04
이상인 태양광발전소,충청북도 단양군 매포읍 평동4로 117-5,,37.0335309042712,128.296195137229,,정상가동,15.47,220.0,60,2023,,,,,2025-12-04
주노 태양광발전소,,충청북도 단양군 매포읍 영천리 50-2,37.0653146221226,128.312904710192,,정상가동,742.05,22900.0,60,2023,,,,,2025-12-04
해성 태양광발전소,,충청북도 단양군 매포읍 영천리 355-2,37.0750685172483,128.29255898186,,정상가동,95.94,380.0,60,2023,,,,,2025-12-04
햇님일호 발전소,,충청북도 단양군 매포읍 영천리 355,37.0755334317398,128.292914901803,,정상가동,95.94,380.0,60,2023,,,,,2025-12-04
스프링솔라3호 발전소,,충청북도 단양군 매포읍 영천리 355-3,37.0751487404006,128.293332746927,,정상가동,95.94,380.0,60,2023,,,,,2025-12-04
햇빛태양광발전소 1호 발전소,,충청북도 단양군 매포읍 영천리 355-1,37.0752552306427,128.292788171739,,정상가동,95.94,380.0,60,2023,,,,,2025-12-04
수진2 태양광발전소,,충청북도 단양군 매포읍 상괴리 109-3,37.0384403465262,128.341142022775,,정상가동,99.96,380.0,60,2023,,,,,2025-12-04
조이 태양광발전소,,충청북도 단양군 매포읍 상괴리 110-1,37.037898558455,128.340297980914,,정상가동,459.34,380.0,60,2023,,,,,2025-12-04
안녕 태양광발전소,,충청북도 단양군 매포읍 상괴리 110,37.0385560678553,128.340573214029,,정상가동,295.12,380.0,60,2023,,,,,2025-12-04
해피 태양광발전소,,충청북도 단양군 매포읍 상괴리 109-2,37.0385599323821,128.341132100362,,정상가동,99.96,380.0,60,2023,,,,,2025-12-04
천석 태양광발전소,,충청북도 단양군 매포읍 상괴리 109-4,37.0382570953643,128.341116882647,,정상가동,99.96,380.0,60,2023,,,,,2025-12-04
씨엠에너지 태양광발전소,,충청북도 단양군 적성면 기동리 199-4,37.0022370367005,128.298162725988,,정상가동,99.0,380.0,60,2023,,,,,2025-12-04
영수 태양광발전소,충청북도 단양군 대강면 당동1길 8,,36.9211053777286,128.366749829654,,정상가동,28.42,380.0,60,2023,,,,,2025-12-04
어상천6호 태양광발전소,,충청북도 단양군 어상천면 대전리 185,37.1476335503172,128.354215877498,,정상가동,995.6,22900.0,60,2023,,,,,2025-12-04
어상천5호 태양광발전소,,충청북도 단양군 어상천면 대전리 170-1,37.1454295620856,128.354766229663,,정상가동,884.91,22900.0,60,2023,,,,,2025-12-04
어상천4호 태양광발전소,,충청북도 단양군 어상천면 대전리 162,37.145280066299,128.355382704328,,정상가동,425.75,380.0,60,2023,,,,,2025-12-04
고수33호 태양광발전소,,충청북도 단양군 영춘면 용진리 186-4,37.0919364718529,128.519477310483,,정상가동,99.0,380.0,60,2023,,,,,2025-12-04
샘물1 태양광발전소,,충청북도 단양군 영춘면 용진리 186-4,37.0919364718529,128.519477310483,,정상가동,99.0,380.0,60,2023,,,,,2025-12-04
센텀2호 태양광발전소,,충청북도 단양군 영춘면 용진리 186-4,37.0919364718529,128.519477310483,,정상가동,99.0,380.0,60,2023,,,,,2025-12-04
현기쏠라22호 태양광발전소,,충청북도 단양군 영춘면 용진리 186-4,37.0919364718529,128.519477310483,,정상가동,99.0,380.0,60,2023,,,,,2025-12-04
서화 태양광발전소,,충청북도 단양군 영춘면 용진리 186-4,37.0919364718529,128.519477310483,,정상가동,99.0,380.0,60,2023,,,,,2025-12-04
엘림1 태양광발전소,,충청북도 단양군 영춘면 용진리 186-4,37.0919364718529,128.519477310483,,정상가동,99.0,380.0,60,2023,,,,,2025-12-04
썬스타 태양광발전소,,충청북도 단양군 적성면 파랑리 391-1,37.0563550984178,128.263703150275,,정상가동,386.75,380.0,60,2023,,,,,2025-12-04
참빛 태양광발전소,,충청북도 단양군 적성면 파랑리 9-1,37.0579072733347,128.265444126434,,정상가동,899.64,22900.0,60,2023,,,,,2025-12-04
양지 태양광발전소,,충청북도 단양군 적성면 파랑리 9-1,37.0579072733347,128.265444126434,,정상가동,828.84,22900.0,60,2023,,,,,2025-12-04
수성 태양광발전소,,충청북도 단양군 적성면 파랑리 8,37.0579545507953,128.265792747297,,정상가동,91.63,380.0,60,2023,,,,,2025-12-04
케이 태양광발전소,,충청북도 단양군 어상천면 대전리 203-4,37.1462143275901,128.353259875404,,정상가동,99.56,380.0,60,2022,,,,,2025-12-04
연주 태양광발전소,,충청북도 단양군 어상천면 대전리 174,37.1464015883491,128.355157019015,,정상가동,99.56,380.0,60,2022,,,,,2025-12-04
박한영 태양광발전소,,충청북도 단양군 어상천면 대전리 172-1,37.1468501378003,128.354271127057,,정상가동,99.56,380.0,60,2022,,,,,2025-12-04
수빈3 태양광발전소,,충청북도 단양군 어상천면 대전리 172-1,37.1468501378003,128.354271127057,,정상가동,79.91,380.0,60,2022,,,,,2025-12-04
하준 태양광발전소,,충청북도 단양군 어상천면 대전리 172-6,37.1466322932956,128.354317103003,,정상가동,99.56,380.0,60,2022,,,,,2025-12-04
수빈2 태양광발전소,,충청북도 단양군 어상천면 대전리 203,37.146359789933,128.353500740841,,정상가동,77.29,380.0,60,2022,,,,,2025-12-04
소담3 태양광발전소,,충청북도 단양군 어상천면 대전리 172-7,37.1465545686862,128.354448416407,,정상가동,99.56,380.0,60,2022,,,,,2025-12-04
지안 태양광발전소,,충청북도 단양군 어상천면 대전리 203-3,37.1463100367217,128.353313017316,,정상가동,99.56,380.0,60,2022,,,,,2025-12-04
정상1 태양광발전소,,충청북도 단양군 어상천면 대전리 174-6,37.1464902454138,128.355535201812,,정상가동,62.88,380.0,60,2022,,,,,2025-12-04
이에스파워 태양광발전소,,충청북도 단양군 가곡면 가대리 510-1,37.0487011602337,128.399370556815,,정상가동,998.76,22900.0,60,2022,,,,,2025-12-04
에이원1호 태양광발전소,,충청북도 단양군 가곡면 가대리 510-1,37.0487011602337,128.399370556815,,정상가동,998.76,22900.0,60,2022,,,,,2025-12-04
블루스카이 태양광발전소,,충청북도 단양군 가곡면 가대리 518,37.0503511132351,128.397525298122,,정상가동,498.8,380.0,60,2022,,,,,2025-12-04
상괴 태양광발전소,,충청북도 단양군 매포읍 상괴리 109,37.0388588436168,128.34115983725,,정상가동,999.92,229380.0,60,2022,,,,,2025-12-04
